Year,Y,X1,X2
1991,0.796,19.737,32.856
1992,0.802,21.687,33.216
1993,0.808,25.531,32.869
1994,0.814,28.787,33.515
1995,0.82,27.086,34.091
1996,0.825,27.55,34.442
1997,0.831,28.941,35.122
1998,0.837,26.171,36.237
1999,0.843,26.318,37.28
2000,0.849,20.629,38.46
2001,0.852,18.009,38.928
2002,0.856,18.935,39.078
2003,0.859,17.25,39.12
2004,0.862,19.758,39.915
2005,0.866,20.279,40.252
2006,0.869,21.328,40.922
2007,0.872,18.831,41.63
2008,0.875,18.326,41.478
2009,0.879,22.945,40.052
2010,0.882,22.55,40.638
2011,0.884,21.936,41.283
2012,0.886,23.651,41.158
2013,0.889,24.055,41.183
2014,0.894,24.22,41.374
2015,0.898,24.671,41.642
2016,0.899,24.616,41.968
2017,0.901,22.293,42.567
